x,y,id,ip,model
7.41448218,43.7294738,node_0,192.168.160.22,../../models/model1.csv
7.41571047,43.7340442,node_1,192.168.160.23,../../models/model2.csv
7.42922166,43.7386146,node_2,192.168.160.24,../../models/model1.csv
7.41693876,43.7386146,node_3,192.168.160.25,../../models/model2.csv
7.40097099,43.7249034,node_4,192.168.160.26,../../models/model1.csv
7.43044995,43.7431850,node_5,192.168.160.27,../../models/model2.csv
7.38868809,43.7249034,node_6,192.168.160.28,../../models/model2.csv
7.39974270,43.7203330,node_7,192.168.160.29,../../models/model1.csv
7.38745980,43.7203330,node_8,192.168.160.30,../../models/model1.csv
7.41325389,43.7249034,node_9,192.168.160.31,../../models/model2.csv
7.43167824,43.7477554,node_10,192.168.160.32,../../models/model2.csv
7.37517690,43.7203330,node_11,192.168.160.33,../../models/model1.csv
7.38991638,43.7294738,node_12,192.168.160.34,../../models/model2.csv
7.37763348,43.7294738,node_13,192.168.160.35,../../models/model1.csv
7.40219928,43.7294738,node_14,192.168.160.36,../../models/model1.csv
7.36535058,43.7294738,node_15,192.168.160.37,../../models/model2.csv
7.42799337,43.7340442,node_16,192.168.160.38,../../models/model2.csv
7.44396114,43.7477554,node_17,192.168.160.39,../../models/model1.csv
7.47098351,43.7568962,node_18,192.168.160.40,../../models/model2.csv
7.36412229,43.7249034,node_19,192.168.160.41,../../models/model2.csv
